Year,HS Level,Code,Chinese Name,English Name,Export Value,Ranking
2015,HS4,8517,電話機，包括用於蜂巢式網路或其他無線網路之智慧型手機及其他電話；其他傳輸或接收聲音、圖像或其他資料之器具，包括有線或無線網路（如區域或廣域網路）之通訊器具，但不包括第８４４３、８５２５、８５２７或８５２８節之傳輸或接收器具,"Telephones sets, including smartphones and other telephones for cellular networks or for other wireless networks; other apparatus for the transmission or reception of voice, images or other data, including apparatus for communication in a wired or wireless network (such as a local or wide area network), other than transmission or reception apparatus of heading 84.43, 85.25, 85.27 or 85.28","2,146,375,253",1
2015,HS4,8708,第８７０１至８７０５節機動車輛所用之零件及附件,Parts and accessories of the motor vehicles of headings 87.01 to 87.05,"1,713,800,251",2
2015,HS4,8542,積體電路,Electronic integrated circuits,"1,527,318,401",3
2015,HS4,7318,鋼鐵製螺釘、螺栓、螺帽、車用螺釘、螺旋?、鉚釘、橫梢、開口梢、墊圈（包括彈簧墊圈）及類似製品,"Screws, bolts, nuts, coach screws, screw hooks, rivets, cotters, cotter-pins, washers (including spring washers) and similar articles, of iron or steel","1,450,778,261",4
2015,HS4,8473,專用或主要用於第８４７０至８４７２節機器之零件及附件（蓋套、提箱及類似品除外）,"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely or principally with machines of headings 84.70 to 84.72","1,283,714,595",5
2015,HS4,8471,自動資料處理機及其附屬單元；磁性或光學閱讀機，以符號方式將資料轉錄於資料媒體之機器及處理此類資料之未列名機器,"Automatic data processing machines and units thereof; magnetic or optical readers, machines for transcribing data onto data media in coded form and machines for processing such data, not elsewhere specified or included","1,080,405,306",6
2015,HS4,8528,監視器及投影機，未裝有電視接收器具；電視接收器具，不論是否裝有無線電廣播接收機或音、影錄或放器具者,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus","837,683,331",7
2015,HS4,8523,碟片，磁帶，固態非揮發性儲存裝置，智慧卡及其他錄音或錄製其他現象之媒體，不論是否已錄製，包括生產碟片之原模及母片，但第三十七章之產品除外,"Discs, tapes, solid-state non-volatile storage devices, smart cards and other media for the recording of sound or of other phenomena, whether or not recorded, including matrices and masters for the production of discs, but excluding products of Chapter 37","778,347,560",8
2015,HS4,8529,專用或主要用於第８５２４至８５２８節所屬器具之零件,Parts suitable for use solely or principally with the apparatus of headings 85.24 to 85.28,"719,987,135",9
2015,HS4,8512,腳踏車或機動車輛用之電氣照明或信號設備（第８５３９節所列者除外）、擋風板刮刷器、去霜器及去霧器,"Electrical lighting or signalling equipment (excluding articles of heading 85.39), windsereen wipers, defrosters  and demisters, of a kind used for cycles or motor vehicles","651,541,367",10
2015,HS4,9506,本章未列名之一般體能運動、體操、競技比賽、其他運動（包括乒乓球）或戶外遊戲用物品及設備；游泳池及袖珍游泳池,"Articles and equipment for general physical exercise, gymnastics, athletics, other sports (including table-tennis) or outdoor games, not specified or included elsewhere in this Chapter; swimming pools and paddling pools","618,692,369",11
