COUNTRY,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Afghanistan, Islamic Republic of",97.41722225318532,101.9704993590604,101.2957512194971,105.7364475081064,110.9978418597888,111.6928539021896,114.2644394718408,120.6654052975532,126.8594059948654,144.2544976134007,137.5542964011015
Albania,89.26431587904425,90.71563318771062,93.89177652,93.54689586238712,95.47452175715895,97.41080199053062,98.78535684543849,100.3865554742699,102.4359185260122,109.3249417001666,114.5285511579829
Algeria,160.1,164.77,172.6533333333333,183.6991666666667,193.97,202.2525,206.2,211.18,226.44,247.4208333333334,270.4858333333332
Angola,26.51474599286455,28.44512219371382,31.10643991,40.65437968718775,52.78746786,63.14908718469092,73.93555380870768,90.40213969,113.6845733308229,137.9622438010399,156.7859527587714
"Anguilla, United Kingdom-British Overseas Territory",107.4425,107.17,106.1275,105.573687,106.94,107.3425,108.2175,107.705,109.64,115.73,119.6725
Antigua and Barbuda,94.60392423254355,95.63457871410284,96.56127152621792,96.08866416684782,98.42600928676664,99.61416666666668,101.04,101.6725,103.77,111.585,117.2391666666666
Argentina,,,,,112.8871083333334,151.581675,232.7510916666666,330.5416833333332,490.5548583333335,845.8674583333332,1975.006925
"Armenia, Republic of",116.2950736,119.7621887262112,124.2313437749925,122.4876232431082,123.675206,126.7921103666974,128.6222867826256,130.1804631836869,139.5337163507703,151.5907007208483,154.5928314208298
"Aruba, Kingdom of the Netherlands",92.89558333,93.28708333,93.72997645,92.85716667,91.90233333,95.23475,99.28933333,,,,
Australia,103.5,106.075,107.675,109.05,111.175,113.3,115.125,116.1,119.425,127.3,134.425
Austria,90.20945916666665,91.65805333333331,92.47982583333335,93.30436833333334,95.24628333333332,97.14966583333332,98.63692583333332,100,102.7666666666667,111.55,120.2666666666666
"Azerbaijan, Republic of",111.6416666666667,113.175,117.7333333333333,132.3833333333334,149.5083333333334,152.9,156.8915643,161.2214726,171.9431827583333,195.7611977916667,212.9596617666667
"Bahamas, The",98.65083333333332,100.1441666666667,102.0083333333333,101.655,103.1983333333333,105.5366666666667,108.1658333333333,108.2075,111.3508333333334,117.5925,121.1825
"Bahrain, Kingdom of",88.92378619292595,91.27809075091955,92.96548256841628,95.55623857158382,96.88133442415548,98.90389637831915,99.89869159537749,97.58333333333331,96.99166666666667,100.5083333333333,100.5833333333334
Bangladesh,61.19400706062615,65.47247106,69.52801938871617,73.36146462513788,77.54458680639247,81.84336511,86.42004314,91.33827239319461,96.40357723077832,103.8237165829844,114.0851367654123
Barbados,77.04067133,78.40390849304835,77.53143769844552,78.52533501,82.18476060859852,85.20407594,88.69768983807926,,,102.9574958123953,113.0391666666667
"Belarus, Republic of",39.62673525604225,46.80692309,53.14200130372385,59.43219721,63.01705061912642,66.08743176628748,69.78710926017747,73.65899827847075,80.62734863,92.89050653956981,97.53558830939782
Belgium,99.99916666666668,100.3391666666667,100.9025,102.8941666666667,105.0816666666667,107.2391666666667,108.78,109.5858333333333,112.26,123.0341666666667,128.0158333333334
Belize,97.79378136321579,98.96867551,98.11597722266548,98.76690527162845,99.90040701119678,100.1701208,100.3575083791027,100.4793771627472,103.7305246580112,110.2415789008636,115.0810080208722
Benin,100.5517855,99.99999999999982,100.2187859,99.42374012682151,99.46675566,100.3810249564281,101.1166666666666,104.1731415833334,105.9790242733091,107.4105662916597,110.3439753367995
Bhutan,60.96439365,66.0067958,69.00887989,71.23088776669606,74.76043785,76.79688516441642,78.89069876773918,83.33174433097518,89.45397292770045,94.49843159,98.49509553
Bolivia,84.6975,89.58166666666668,93.21833333333332,96.59583333333332,99.3225,101.5791666666667,103.4477612,104.4209379,105.1909209,107.0279001650833,109.7858893
