Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20670391.06,-28491620.11,-56983240.22,-66480446.93,-81005586.59,69301675.98,30389944.13,-80477653.63,-149871508.4,-69895530.73,-210034078.2,-292775977.7,-263741899.4,-228907821.2,-299290502.8,-368733519.6,-393984357.5,-272978212.3,-239905027.9,-176690502.8,-3787709.497,41803910.61,39987709.5,-23195530.73,38223463.69,-450508155,-162159232.8,73994732.97,251360781.4
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,-15555546.67,-19999991.11,-24444431.11,-57777795.56,-73333306.67,-102222208.9,-139999993.3,-124444444.4,-86666671.11,-68888895.56,-37777795.56,-95555560,-53333333.33,-31111124.44,-17777777.78,-37777771.11,-42222228.89,-93333344.44,-100000017.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5162251667,-3240927741,-5237185135,-5811514184
Africa Western and Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1355564424,844580138.1,3104342456,9043664060,16924606578,18112408546,20882153289,-3467229994,15890556105,23875370936,25713235399,19430344046,13674366440,-3058163807,1518908204,4238202147,12151638218,16839664248,5183387334,13983404110,19932222761,12445363179
Albania,,,,,,,,,,,,,,,,,,,,,6642094.737,27494184.15,-86818158.51,-50920757.58,-37797202.8,-43519825.17,-8912475,-2074975,-60287525,-64875012.5,-175000000,-232016659.7,-546433224.3,-575597170.4,-548018721.8,-534278929.9,-692875123.3,-565335446.5,-641664593.8,-556580521.4,-808260374.4,-934409230.1,-1158057359,-1421155653,-1624605875,-2000648461,-2121524828,-2851523668,-3458245896,-2964490558,-2455100566,-2930778122,-2295828834,-2304969339,-2510946151,-1966079569,-1999094267,-1960074591,-2071012479,-2105530494,-2200742017,-2402634868,-1959516574,-1215863580
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8733832539,6517631042,11870388019,15540550034,28208386658,39503262083,20556024506,29093805310,14819060585,59717358747,99894894486,1.35765E+11,1.39735E+11,1.27617E+11,89530292716,89911504425,96800544588,1.18682E+11,98859087815,53049184054,77626957114,93905513955,76549943272
Argentina,,,-1147183292,396.4821251,391.7657954,588235263.8,476190458.7,606060620.3,285714230.4,0,273421120.5,-199999955.3,125000068,1000000034,444444349.7,-81081003.16,1665000247,1300000008,2576185988,125448026.3,-1094188525,-354736981.1,2166280922,3447293430,3312681836,4815481324,1945851942,323648994.7,4212460577,4964855541,8096981411,3029889879,-3510854173,-5692332332,-7914860000,-1059485000,-1767000000,-6485300000,-7530100000,-4900400000,-1846455600,3508536600,14670786469,14311606659,11530324282,11805942344,13069507212,12594785133,13446803975,16864736859,12270934023,8971671281,10642160447,-549718918.5,2127192191,-6393090843,-5796649660,-17049937664,-9914710860,14413857778,11599718810,14863213107,6000880378,-7378312555
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-255697111.1,-401038961,-272835453.4,-162600028.5,-444172286.4,-561763793.8,-523000193.2,-623026905.8,-640769078.3,-536001569.9,-533526836.5,-457007710.9,-435351356.1,-535738030.7,-596906551.7,-760226628.4,-1068640767,-1896160478,-3033398111,-2415579339,-2328604915,-2473579646,-2212859672,-2318611568,-2166115015,-1290809519,-905850641.9,-1241540183,-1705158079,-1826694345,-1258965740,-1090467078,-187489154.6,-195208163.5
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-44000000,-61000000,-110000000,-120000000,-143000000,-120000000,-117000000,-29000000,-177000000,-228000000,-163000000,-193000000,-266000000,-237000000,-210000000,-264000000,-226000000,-215000000,-259000000,-362000000,-268000000,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103062963,162974074.1,119500000,17922222.22,-94940740.74,13666666.67,-148470370.4,-114592592.6,-154103703.7,
